Title,Category Type,Barrier to Entry,Helps with College Admissions,Technical and Skills Required,Non-financial Benefits
Babysitter,Job,Medium,Medium,Creativity,Skill building
Lifeguard,Internship,Low,High,Collaboration,Skill building
Grocery Store Clerk,Internship,Low,High,Communication,Mentorship opportunities
Fast Food Worker,Volunteering,Medium,Medium,Communication,Community impact
Tutor,Club,High,Low,Basic Math,Skill building
Camp Counselor,Internship,High,High,Collaboration,Creative expression
Dog Walker,Internship,Medium,Low,Problem Solving,Letters of recommendation
Library Assistant,Internship,Low,Medium,Public Speaking,Friendship and belonging
Student Government,Internship,Medium,Medium,Physical Stamina,Mentorship opportunities
Debate Club,Volunteering,Low,High,Organizational Skills,Creative expression
Theater Crew,Volunteering,High,Low,Leadership,Confidence boost
Art Club,Volunteering,High,High,Basic Math,Friendship and belonging
Yearbook Committee,Job,Low,High,Computer Skills,Teamwork
Coding Club,Internship,High,Low,Problem Solving,Leadership experience
Math Team,Volunteering,Medium,Medium,Communication,Mentorship opportunities
Science Olympiad,Internship,Low,Low,Creativity,Mentorship opportunities
Hospital Volunteer,Internship,Low,High,Computer Skills,Skill building
Food Bank Volunteer,Volunteering,Low,Low,Communication,Skill building
Community Garden Helper,Club,High,Low,Organizational Skills,Friendship and belonging
Political Campaign Intern,Internship,High,Medium,Problem Solving,Letters of recommendation
Museum Intern,Internship,Low,Low,Public Speaking,Letters of recommendation
Research Assistant,Internship,Medium,Low,Collaboration,Mentorship opportunities
Social Media Manager for Small Business,Volunteering,Medium,Medium,Public Speaking,Confidence boost
Music Band Member,Job,High,Medium,Leadership,Letters of recommendation
Dance Team,Internship,Medium,Medium,Creativity,Networking
Sports Team Manager,Club,Medium,Medium,Communication,Community impact
Peer Mentor,Club,High,Medium,Basic Math,Letters of recommendation
Environmental Club,Internship,Medium,Medium,Computer Skills,Community impact
Robotics Team,Club,High,Medium,Creativity,Community impact
Chess Club,Job,High,High,Creativity,Community impact
Esports Team,Club,Low,Medium,Communication,Skill building
Podcast Host,Volunteering,Medium,Low,Problem Solving,Friendship and belonging
School Newspaper,Internship,High,High,Physical Stamina,Creative expression
Photography Club,Internship,High,Low,Creativity,Creative expression
Film Club,Club,Low,Medium,Computer Skills,Creative expression
Drama Club,Volunteering,Medium,High,Public Speaking,Confidence boost
Animal Shelter Volunteer,Job,Low,Medium,Public Speaking,Confidence boost
Senior Tech Helper,Club,High,Low,Creativity,Teamwork
Peer Mediator,Club,Medium,High,Basic Math,Friendship and belonging
SAT Prep Group Leader,Volunteering,Low,Low,Leadership,Skill building
Local Theater Intern,Job,Medium,High,Leadership,Friendship and belonging
Farmhand (Seasonal),Job,Low,Medium,Basic Math,Creative expression
Retail Worker,Job,Medium,Low,Creativity,Letters of recommendation
Barista,Club,Low,Medium,Basic Math,Mentorship opportunities
Assistant Coach,Job,High,Low,Computer Skills,Mentorship opportunities
Charity Fundraiser,Volunteering,Medium,Medium,Computer Skills,Confidence boost
Church Youth Group Leader,Club,Low,Medium,Problem Solving,Networking
Coding Internship,Job,Low,High,Problem Solving,Skill building
Art Studio Intern,Job,High,Medium,Organizational Skills,Skill building
Music Teacher Assistant,Club,Medium,High,Collaboration,Community impact